叫	✍6	中学	SHOUT	exclaim, yell	キョウ	さけ.ぶ	叫ぶ (さけぶ) - to shout<br>叫び (さけび) - shout<br>絶叫 (ぜっきょう) - scream
吐	✍6	中学	SPIT	vomit, belch, confess, tell (lies)	ト	は.く　つ.く	吐く (つく) - to breathe out<br>吐露 (とろ) - express one's mind<br>吐き気 (はきけ) - nausea
吏	✍6	中学	OFFICER	an official	リ		官吏 (かんり) - government official<br>能吏 (のうり) - able official<br>税関吏 (ぜいかんり) - customs officer
壮	✍6	中学	ROBUST	manhood, prosperity	ソウ	さかん	壮大 (そうだい) - magnificent<br>悲壮 (ひそう) - heroic<br>壮行 (そうこう) - rousing
如	✍6	中学	LIKENESS	like, such as, as if, better, best, equal	ジョ　ニョ	ごと.し	欠如 (けつじょ) - lack<br>突如 (とつじょ) - suddenly<br>如実 (にょじつ) - reality
妃	✍6	中学	QUEEN	princess	ヒ	きさき	王妃 (おうひ) - queen<br>妃殿下 (ひでんか) - princess<br>公妃 (こうひ) - noble's consort
妄	✍6	中学	DELUSION	unnecessarily, without authority, reckless	モウ　ボウ	みだ.りに	妄想 (ぼうそう) - wild idea<br>妄言 (ぼうげん) - reckless remark<br>虚妄 (きょもう) - falsehood
尽	✍6	中学	EXHAUST	use up, run out of, deplete, befriend, serve	ジン　サン	つ.くす　-つ.くす　-づ.くし　-つ.く　-づ.く　-ず.く　つ.きる　つ.かす　さかづき　ことごと.く　つか　つき	尽くす (つくす) - to exhaust<br>尽きる (つきる) - to be used up<br>尽力 (じんりょく) - efforts
巡	✍6	中学	PATROL	go around, circumference	ジュン	めぐ.る　めぐ.り	巡査 (じゅんさ) - police<br>巡る (めぐる) - to go around<br>巡回 (じゅんかい) - going around
帆	✍6	中学	SAIL		ハン	ほ	帆船 (はんせん) - sailing ship<br>帆走 (はんそう) - sailing<br>出帆 (しゅっぱん) - sailing
弐	✍6	中学	II	two, second	ニ　ジ	ふた.つ　そえ	
忙	✍6	中学	BUSY	occupied, restless	ボウ　モウ	いそが.しい　せわ.しい　おそ.れる　うれえるさま	忙しい (いそがしい) - busy<br>多忙 (たぼう) - busy<br>大忙し (おおいそがし) - very busy (person or thing)
扱	✍6	中学	HANDLE	entertain, thresh, strip	ソウ　キュウ	あつか.い　あつか.う　あつか.る　こ.く	扱う (あつかう) - to handle<br>扱い (あつかい) - treatment<br>取扱 (とりあつかい) - treatment
汎	✍6	中学	PAN-		ハン　ブ　フウ　ホウ　ホン	ただよ.う　ひろ.い	汎用 (はんよう) - generic<br>広汎 (こうはん) - wide<br>汎神論 (はんしんろん) - pantheism
汚	✍6	中学	DIRTY	pollute, disgrace, rape, defile	オ	けが.す　けが.れる　けが.らわしい　よご.す　よご.れる　きたな.い	汚染 (おせん) - pollution<br>汚職 (おしょく) - corruption<br>汚れ (けがれ) - disgrace
汗	✍6	中学	SWEAT	perspire	カン	あせ	冷や汗 (ひやあせ) - cold sweat<br>汗だく (あせだく) - dripping with sweat<br>汗ばむ (あせばむ) - to be sweaty
江	✍6	中学	CREEK	inlet, bay	コウ	え	江戸 (えど) - old name of Tokyo<br>江戸川 (えどがわ) - Edo River<br>堀江 (ほりえ) - canal
芋	✍6	中学	POTATO		ウ	いも	里芋 (さといも) - taro (Colocasia esculenta)<br>焼き芋 (やきいも) - roasted sweet potato<br>芋虫 (いもむし) - hornworm (caterpillar of a hawk moth)
芝	✍6	中学	TURF	lawn	シ	しば	東芝 (とうしば) - Toshiba (company)<br>芝居 (しばい) - play<br>芝生 (しばふ) - lawn
迅	✍6	中学	SWIFT	fast	ジン		迅速 (じんそく) - quick<br>奮迅 (ふんじん) - impetuous dash forward
旨	✍6	中学	DELICIOUS	relish, show a liking for, purport, will, clever, expert	シ	むね　うま.い	趣旨 (しゅし) - meaning<br>要旨 (ようし) - point<br>論旨 (ろんし) - point of an argument
